hotel,price,score,avg review,avg review rating,reviews count,,,,,,,,
Grand Sirenis Punta Cana Resort & Aquagames - All Inclusive,"$1,643 ",7.9,Good,5,978,,,,,,,,
GRAND CARIBE BEACH CLUB and SPA - PLAYA LOS CORALES,$468 ,7.8,Good,5,88,,,,,,,,
DOMINICAN BREATH - suites SOL CARIBE - SWIMMING POOL and BEACH CLUB - playa BAVARO,$468 ,7.8,Good,5,91,,,,,,,,
"Royalton CHIC Punta Cana, An Autograph Collection All-Inclusive Resort & Casino, Adults Only","$3,830 ",7.8,Good,5,250,,,,,,,,
Hard Rock Hotel & Casino Punta Cana - All Inclusive,"$3,832 ",7.7,Good,5,"1,551",,,,,,,,
Catalonia Punta Cana - All Inclusive,"$1,525 ",7.7,Good,5,"5,903",,,,,,,,
"SOL CARIBE SUITES - PLAYA LOS CORALES - beach club, wifi, swimming pool",$500 ,7.7,Good,5,32,,,,,,,,
Grand Palladium Punta Cana Resort & Spa - All Inclusive,"$2,245 ",7.7,Good,5,593,,,,,,,,
Meliá Caribe Beach Resort-All Inclusive,"$2,655 ",7.7,Good,5,"1,199",,,,,,,,
Grand Palladium Palace Resort Spa & Casino - All Inclusive,"$2,460 ",7.7,Good,5,274,,,,,,,,
"LOS CORALES VILLAS and SUITES - BEACH CLUB, SPA, RESTAURANTS",$743 ,7.7,Good,5,73,,,,,,,,
Los Corales Beach VILLAS & APARTMENTS,$840 ,7.7,Good,5,15,,,,,,,,
Meliá Punta Cana Beach Wellness Inclusive - Adults only,"$2,291 ",7.7,Good,5,749,,,,,,,,
Nickelodeon Hotels & Resorts Punta Cana - Gourmet All Inclusive by Karisma,"$3,420 ",7.6,Good,5,973,,,,,,,,
Ocean Blue & Sand Beach Resort - All Inclusive,"$1,732 ",7.6,Good,5,676,,,,,,,,
Grand Palladium Bavaro Suites Resort & Spa - All Inclusive,"$2,377 ",7.6,Good,5,351,,,,,,,,
"Occidental Punta Cana - All Inclusive Resort - Barcelo Hotel Group ""Newly Renovated""","$1,215 ",7.5,Good,5,"3,106",,,,,,,,
"Occidental Punta Cana - All Inclusive Resort - Barcelo Hotel Group ""Newly Renovated""","$1,215 ",7.5,Good,5,"3,106",,,,,,,,
Dominican Fiesta Hotel & Casino,$679 ,7.4,Good,5,"2,779",,,,,,,,
Glamour Hotel,$186 ,7.2,Good,5,155,,,,,,,,
Be Live Collection Marien - All Inclusive,"$1,292 ",7.1,Good,5,"2,648",,,,,,,,
Bahia Principe Grand Bavaro - All Inclusive,"$1,500 ",7.1,Good,5,"1,282",,,,,,,,
Bahia Principe Grand Turquesa - All Inclusive,"$1,294 ",7,Good,5,26,,,,,,,,
Playabachata Spa Resort,$948 ,6.6,Good,5,"1,619",,,,,,,,
